geese < goose	3_114_V_fcw_01.mp3	ガン
living	3_114_V_fcw_02.mp3	生きている
memories < memory	3_114_V_fcw_03.mp3	記憶力，記憶
marsh	3_115_V_fcw_01.mp3	沼
left	3_115_V_fcw_02.mp3	leaveの過去・過去分詞形
nest(s)	3_115_V_fcw_03.mp3	巣
follow(ed)	3_115_V_fcw_04.mp3	（～の）後についていく
Amy	3_115_V_fcw_05.mp3	エイミー〔名〕
slowly	3_116_V_fcw_01.mp3	ゆっくりと
quickly	3_116_V_fcw_02.mp3	すぐに
able	3_116_V_fcw_03.mp3	～する能力がある
herself	3_116_V_fcw_04.mp3	彼女自身
flew	3_116_V_fcw_05.mp3	flyの過去形
be able to ~	3_116_V_fcw_06.mp3	～することができる
go up	3_116_V_fcw_07.mp3	飛び立つ
It worked.	3_116_V_fcw_08.mp3	うまくいった。
ahead	3_117_V_fcw_01.mp3	～の前方に
condominium	3_117_V_fcw_02.mp3	分譲マンション
North Carolina	3_117_V_fcw_03.mp3	ノース・カロライナ
ready	3_118_V_fcw_01.mp3	～する準備ができた
south	3_118_V_fcw_02.mp3	南へ
land	3_118_V_fcw_03.mp3	着陸する
airport	3_118_V_fcw_04.mp3	空港
reporter(s)	3_118_V_fcw_05.mp3	リポーター
journalist(s)	3_118_V_fcw_06.mp3	記者
be ready to ~	3_118_V_fcw_07.mp3	～する準備が整う
trouble	3_119_V_fcw_01.mp3	トラブル
land	3_119_V_fcw_02.mp3	土地
quiet	3_119_V_fcw_03.mp3	静かな
hill	3_119_V_fcw_04.mp3	丘
head(ed)	3_119_V_fcw_05.mp3	～に向かう
have trouble with ~	3_119_V_fcw_06.mp3	～が故障する
run out 	3_119_V_fcw_07.mp3	なくなる
in time	3_119_V_fcw_08.mp3	遅れずに
on one's own	3_119_V_fcw_09.mp3	独力で
past	3_120_V_fcw_01.mp3	過去
elementary	3_120_V_fcw_02.mp3	初等の
shock(ed)	3_120_V_fcw_03.mp3	(～に)ショックを与える
grade	3_120_V_fcw_04.mp3	学年
southern	3_120_V_fcw_05.mp3	南の
island	3_120_V_fcw_06.mp3	島
elementary school	3_120_V_fcw_07.mp3	小学校
Okinawa Prefectural Peace Memorial Museum	3_120_V_fcw_08.mp3	沖縄平和祈念資料館
present	3_121_V_fcw_01.mp3	現在
stringed instrument	3_121_V_fcw_02.mp3	弦楽器
Ryukyu Kingdom	3_121_V_fcw_03.mp3	琉球王国
