born	2_124_V_fcw_01.mp3	bearの過去分詞形

God	2_124_V_fcw_02.mp3	神

nun	2_124_V_fcw_03.mp3	尼僧

age	2_124_V_fcw_04.mp3	年齢

change(d)	2_124_V_fcw_05.mp3	変わる

taught	2_124_V_fcw_06.mp3	teachの過去形

poor	2_124_V_fcw_07.mp3	貧しい

forget	2_124_V_fcw_08.mp3	（〜を）忘れる

decide(d)	2_124_V_fcw_09.mp3	決める

alone	2_124_V_fcw_10.mp3	ひとりで

be born	2_124_V_fcw_11.mp3	生まれる

at the age of ~	2_124_V_fcw_12.mp3	〜歳のときに

on the way to ~	2_124_V_fcw_13.mp3	〜の途中で

Agnes	2_124_V_fcw_14.mp3	アグネス〔名〕

Macedonia	2_124_V_fcw_15.mp3	マケドニア〔国名〕

Calcutta	2_124_V_fcw_16.mp3	カルカッタ

Sister	2_124_V_fcw_17.mp3	修道女

Teresa	2_124_V_fcw_18.mp3	テレサ〔名〕

the poor = poor people	2_124_V_fcw_19.mp3	貧しい人々

began < begin	2_125_V_fcw_01.mp3	（〜を）始める

ground	2_125_V_fcw_02.mp3	地面

easy	2_125_V_fcw_03.mp3	簡単な

take care of ~	2_125_V_fcw_04.mp3	〜の世話をする

from door to door	2_125_V_fcw_05.mp3	一軒一軒

in time	2_125_V_fcw_06.mp3	やがて

as well	2_125_V_fcw_07.mp3	（〜）もまた

dying	2_126_V_fcw_01.mp3	死にかけている

without	2_126_V_fcw_02.mp3	〜なしで/に/の

man	2_126_V_fcw_03.mp3	男の人，人

starvation	2_126_V_fcw_04.mp3	飢餓

and so	2_126_V_fcw_05.mp3	それで，だから

the dying	2_126_V_fcw_06.mp3	死にかけている人々

grow	2_127_V_fcw_01.mp3	育つ

continue	2_127_V_fcw_02.mp3	（〜を）続ける

drop	2_127_V_fcw_03.mp3	一滴

ocean	2_127_V_fcw_04.mp3	海

stop	2_127_V_fcw_05.mp3	（〜を）やめる

less < little	2_127_V_fcw_06.mp3	少なく

each other	2_127_V_fcw_07.mp3	お互いに

more and more ~ 	2_127_V_fcw_08.mp3	ますます多くの〜

pass away	2_127_V_fcw_09.mp3	他界する

go on	2_127_V_fcw_10.mp3	続く

~ less	2_127_V_fcw_11.mp3	〜だけ足りない

Nobel Peace Prize	2_127_V_fcw_12.mp3	ノーベル平和賞

site(s)	2_129_V_fcw_01.mp3	場所

ice	2_130_V_fcw_01.mp3	氷

sculpture(s)	2_130_V_fcw_02.mp3	彫刻

rich	2_130_V_fcw_03.mp3	味のこってりした

because of ~ 	2_130_V_fcw_04.mp3	〜のために

be sure that ~	2_130_V_fcw_05.mp3	きっと〜だと思う

pamphlet	2_131_V_fcw_01.mp3	パンフレット

history	2_131_V_fcw_02.mp3	歴史

