fever	2_118_V_fcw_01.mp3	熱

cold	2_118_V_fcw_02.mp3	風邪

headache	2_118_V_fcw_03.mp3	頭痛

toothache	2_118_V_fcw_04.mp3	歯痛

itchy	2_118_V_fcw_05.mp3	かゆい

cut < cut	2_118_V_fcw_06.mp3	（〜を）切る

stomach	2_118_V_fcw_07.mp3	胃，腹

stomachache	2_118_V_fcw_08.mp3	腹痛

sore	2_118_V_fcw_09.mp3	痛い，〔のどが〕荒れた

throat	2_118_V_fcw_10.mp3	のど

leg	2_118_V_fcw_11.mp3	脚

runny	2_118_V_fcw_12.mp3	鼻水が出る

cough	2_118_V_fcw_13.mp3	せき

sore throat	2_118_V_fcw_14.mp3	のどの痛み

hay fever	2_118_V_fcw_15.mp3	花粉症

I have a runny nose.	2_118_V_fcw_16.mp3	鼻水が出る

wrong	2_119_V_fcw_01.mp3	具合・調子の悪い

pharmacist	2_119_V_fcw_02.mp3	薬剤師

medicine	2_119_V_fcw_03.mp3	薬

rest	2_119_V_fcw_04.mp3	休む

pain	2_119_V_fcw_05.mp3	痛み

dentist	2_119_V_fcw_06.mp3	歯科医

still	2_119_V_fcw_07.mp3	まだ，なお

What's wrong?	2_119_V_fcw_08.mp3	どうしたの。

That's too bad.	2_119_V_fcw_09.mp3	それはお気の毒ですね。

see a doctor	2_119_V_fcw_10.mp3	医者にみてもらう

take medicine	2_119_V_fcw_11.mp3	薬を飲む

all right	2_119_V_fcw_12.mp3	大丈夫

Take care.	2_119_V_fcw_13.mp3	お大事に。

treasure	2_120_V_fcw_01.mp3	宝（物）

gold	2_120_V_fcw_02.mp3	金の

medal	2_120_V_fcw_03.mp3	メダル

tournament	2_120_V_fcw_04.mp3	トーナメント

life	2_120_V_fcw_05.mp3	人生，一生

mirror	2_121_V_fcw_01.mp3	鏡

get married	2_122_V_fcw_01.mp3	結婚する

